"MES_REFERENCIA";"SUBMERCADO";"PLD_MEDIA_MES"
"202101";NORDESTE;239.02
"202101";NORTE;240.4
"202101";SUDESTE;242.72
"202101";SUL;240.37
"202102";NORDESTE;162.68
"202102";NORTE;162.5
"202102";SUDESTE;165.98
"202102";SUL;164.4
"202103";NORDESTE;78.02
"202103";NORTE;55.57
"202103";SUDESTE;109.02
"202103";SUL;110.28
"202104";NORDESTE;88.55
"202104";NORTE;77.27
"202104";SUDESTE;132.63
"202104";SUL;136.92
"202105";NORDESTE;189.32
"202105";NORTE;189.12
"202105";SUDESTE;218.7
"202105";SUL;226.16
"202106";NORDESTE;328.76
"202106";NORTE;335.72
"202106";SUDESTE;336.99
"202106";SUL;336.99
"202107";NORDESTE;583.88
"202107";NORTE;583.88
"202107";SUDESTE;583.88
"202107";SUL;583.88
"202108";NORDESTE;583.88
"202108";NORTE;583.88
"202108";SUDESTE;583.88
"202108";SUL;583.88
"202109";NORDESTE;570.39
"202109";NORTE;577.37
"202109";SUDESTE;577.37
"202109";SUL;577.37
"202110";NORDESTE;248.97
"202110";NORTE;249.36
"202110";SUDESTE;249.36
"202110";SUL;249.36
"202111";NORDESTE;88.08
"202111";NORTE;88.1
"202111";SUDESTE;88.1
"202111";SUL;88.1
"202112";NORDESTE;66.46
"202112";NORTE;66.31
"202112";SUDESTE;66.67
"202112";SUL;66.67
