"MES_REFERENCIA";"SUBMERCADO";"PLD_MEDIA_MES"
"202401";NORDESTE;61.14
"202401";NORTE;61.14
"202401";SUDESTE;61.14
"202401";SUL;61.14
"202402";NORDESTE;61.2
"202402";NORTE;61.2
"202402";SUDESTE;61.2
"202402";SUL;61.2
"202403";NORDESTE;61.07
"202403";NORTE;61.07
"202403";SUDESTE;61.07
"202403";SUL;61.07
"202404";NORDESTE;61.07
"202404";NORTE;61.07
"202404";SUDESTE;61.07
"202404";SUL;61.07
"202405";NORDESTE;61.07
"202405";NORTE;61.07
"202405";SUDESTE;61.07
"202405";SUL;61.07
"202406";NORDESTE;66.4
"202406";NORTE;66.41
"202406";SUDESTE;66.41
"202406";SUL;66.4
"202407";NORDESTE;84.28
"202407";NORTE;87.08
"202407";SUDESTE;87.07
"202407";SUL;87.05
"202408";NORDESTE;103.82
"202408";NORTE;118.8
"202408";SUDESTE;118.79
"202408";SUL;118.79
"202409";NORDESTE;243.3
"202409";NORTE;316.41
"202409";SUDESTE;307.59
"202409";SUL;307.78
"202410";NORDESTE;449.83
"202410";NORTE;482.54
"202410";SUDESTE;480.78
"202410";SUL;480.76
"202411";NORDESTE;102.14
"202411";NORTE;103.66
"202411";SUDESTE;103.51
"202411";SUL;103.51
"202412";NORDESTE;64.8
"202412";NORTE;64.8
"202412";SUDESTE;64.8
"202412";SUL;64.8
