"MES_REFERENCIA";"SUBMERCADO";"PLD_MEDIA_MES"
"202201";NORDESTE;57.22
"202201";NORTE;55.71
"202201";SUDESTE;62.91
"202201";SUL;62.92
"202202";NORDESTE;55.7
"202202";NORTE;55.7
"202202";SUDESTE;55.7
"202202";SUL;55.7
"202203";NORDESTE;55.7
"202203";NORTE;55.7
"202203";SUDESTE;55.7
"202203";SUL;55.7
"202204";NORDESTE;55.7
"202204";NORTE;55.7
"202204";SUDESTE;55.7
"202204";SUL;55.7
"202205";NORDESTE;55.7
"202205";NORTE;55.7
"202205";SUDESTE;55.7
"202205";SUL;55.7
"202206";NORDESTE;55.71
"202206";NORTE;55.71
"202206";SUDESTE;55.71
"202206";SUL;55.71
"202207";NORDESTE;66.3
"202207";NORTE;66.32
"202207";SUDESTE;66.32
"202207";SUL;66.32
"202208";NORDESTE;76.9
"202208";NORTE;76.9
"202208";SUDESTE;76.9
"202208";SUL;76.9
"202209";NORDESTE;56.08
"202209";NORTE;56.08
"202209";SUDESTE;56.08
"202209";SUL;56.08
"202210";NORDESTE;55.7
"202210";NORTE;55.7
"202210";SUDESTE;55.7
"202210";SUL;55.7
"202211";NORDESTE;55.7
"202211";NORTE;55.7
"202211";SUDESTE;55.7
"202211";SUL;55.7
"202212";NORDESTE;55.7
"202212";NORTE;55.7
"202212";SUDESTE;55.7
"202212";SUL;55.7
